"url","route_exists","locale","http_status","final_url","redirect_hops","indexable","canonical","hreflang_es","hreflang_en","x_default","title","h1","meta_robots","x_robots_tag","robots_txt_allowed","crawl_policy","index_policy","classification","page_type","product","audience","content_language","schema_types","source_route","source_file","sitemap_present","sitemap_absence_classification","internal_inlinks","internal_outlinks","intent_label_provisional","intent_confidence","notes","discovered_via_sitemap","discovered_via_route_tree","discovered_via_i18n","discovered_via_internal_link","discovered_via_redirect_config"
"https://valentinproteccionintegral.com/seguros/salud","yes","es","200","https://valentinproteccionintegral.com/seguros/salud","0","yes","https://valentinproteccionintegral.com/seguros/salud","https://valentinproteccionintegral.com/seguros/salud","https://valentinproteccionintegral.com/en/insurance/health","https://valentinproteccionintegral.com/seguros/salud","Seguro de Salud Privado en Madrid | Desde 21€/mes · Valentín Protección Integral","Elige tu seguro de salud sin decidir a ciegas","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","es","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","416","94","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance","yes","en","200","https://valentinproteccionintegral.com/en/insurance","0","yes","https://valentinproteccionintegral.com/en/insurance","https://valentinproteccionintegral.com/seguros","https://valentinproteccionintegral.com/en/insurance","https://valentinproteccionintegral.com/seguros","Insurance in Madrid | Valentín Protección Integral","Insurance in Madrid: health, life, dental, pet cover and more — without pressure or complications","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","95","94","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/extranjeros","yes","es","200","https://valentinproteccionintegral.com/extranjeros","0","yes","https://valentinproteccionintegral.com/extranjeros","https://valentinproteccionintegral.com/extranjeros","https://valentinproteccionintegral.com/en/foreigners","https://valentinproteccionintegral.com/extranjeros","Seguro médico para extranjeros en España | Valentín Protección Integral","Tu seguro médico para estudiar o residir en España","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","es","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","275","80","unknown","unknown","","yes","yes","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health","0","yes","https://valentinproteccionintegral.com/en/insurance/health","https://valentinproteccionintegral.com/seguros/salud","https://valentinproteccionintegral.com/en/insurance/health","https://valentinproteccionintegral.com/seguros/salud","Health insurance in Madrid | Valentín Protección Integral","Choose your health insurance with confidence","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","395","94","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/foreigners","yes","en","200","https://valentinproteccionintegral.com/en/foreigners","0","yes","https://valentinproteccionintegral.com/en/foreigners","https://valentinproteccionintegral.com/extranjeros","https://valentinproteccionintegral.com/en/foreigners","https://valentinproteccionintegral.com/extranjeros","Health insurance for foreigners in Spain | VPI","Your health insurance to study or live in Spain","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","223","80","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/contact","no","en","200","https://valentinproteccionintegral.com/en/contact","0","yes","https://valentinproteccionintegral.com/en/contact","https://valentinproteccionintegral.com/contacto","https://valentinproteccionintegral.com/en/contact","https://valentinproteccionintegral.com/contacto","Contact — Insurance advice in Madrid | VPI","Contact us — Valentín Protección Integral","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","unknown","yes","sitemap_present","554","78","unknown","unknown","","yes","no","no","yes","no"
"https://valentinproteccionintegral.com/en","no","en","200","https://valentinproteccionintegral.com/en","0","yes","https://valentinproteccionintegral.com/en","https://valentinproteccionintegral.com","https://valentinproteccionintegral.com/en","https://valentinproteccionintegral.com","Insurance advice in Madrid — Health, Life and More | VPI","Protect what matters,without deciding blindly.","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","unknown","yes","sitemap_present","442","136","unknown","unknown","","yes","no","no","yes","no"
"https://valentinproteccionintegral.com/en/about-us","yes","en","200","https://valentinproteccionintegral.com/en/about-us","0","yes","https://valentinproteccionintegral.com/en/about-us","https://valentinproteccionintegral.com/sobre-nosotros","https://valentinproteccionintegral.com/en/about-us","https://valentinproteccionintegral.com/sobre-nosotros","About Us | Valentín Protección Integral","Insurance explained clearly, with real personal support.","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","224","77","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/seguros/salud-extranjeros","yes","es","200","https://valentinproteccionintegral.com/seguros/salud-extranjeros","0","yes","https://valentinproteccionintegral.com/seguros/salud-extranjeros","https://valentinproteccionintegral.com/seguros/salud-extranjeros","https://valentinproteccionintegral.com/en/insurance/health/foreigners","https://valentinproteccionintegral.com/seguros/salud-extranjeros","Seguro Médico para NIE, TIE y Visado | VPI","Seguro de salud para extranjeros válido para visado en España, según la modalidad","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","es","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","7","5","unknown","unknown","","yes","yes","yes","yes","no"
"https://valentinproteccionintegral.com/en/how-we-help","yes","en","200","https://valentinproteccionintegral.com/en/how-we-help","0","yes","https://valentinproteccionintegral.com/en/how-we-help","https://valentinproteccionintegral.com/como-te-ayudamos","https://valentinproteccionintegral.com/en/how-we-help","https://valentinproteccionintegral.com/como-te-ayudamos","How We Help | Valentín Protección Integral","We are not an automated portal. We are your adviser.","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","226","77","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/reviews","yes","en","200","https://valentinproteccionintegral.com/en/reviews","0","yes","https://valentinproteccionintegral.com/en/reviews","https://valentinproteccionintegral.com/opiniones","https://valentinproteccionintegral.com/en/reviews","https://valentinproteccionintegral.com/opiniones","Reviews | Valentín Protección Integral","Trust is built by listening","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","224","79","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health/foreigners","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health/foreigners","0","yes","https://valentinproteccionintegral.com/en/insurance/health/foreigners","https://valentinproteccionintegral.com/seguros/salud-extranjeros","https://valentinproteccionintegral.com/en/insurance/health/foreigners","https://valentinproteccionintegral.com/seguros/salud-extranjeros","Health insurance for foreigners in Spain | VPI","Health insurance for foreigners, suitable for a Spanish visa depending on the plan","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","7","5","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/business","yes","en","200","https://valentinproteccionintegral.com/en/business","0","yes","https://valentinproteccionintegral.com/en/business","https://valentinproteccionintegral.com/empresas","https://valentinproteccionintegral.com/en/business","https://valentinproteccionintegral.com/empresas","Business Insurance | Valentín Protección Integral","Solutions to protect your business","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","150","81","unknown","unknown","","yes","no","yes","yes","no"
